city_name,experience_0_3,experience_3_6,experience_6_plus,sum,date_slice
Салехард,11,,4,15,2025-11-01
Самара,21,4,23,48,2025-11-01
Санкт-Петербург,170,43,234,447,2025-11-01
Саранск,22,6,52,80,2025-11-01
Сарапул,2,,5,7,2025-11-01
Саратов,35,10,86,131,2025-11-01
Сатка,,2,8,10,2025-11-01
Свободный,2,4,5,11,2025-11-01
Севастополь,27,6,57,90,2025-11-01
Северодвинск,15,,26,41,2025-11-01
Семей,13,4,28,45,2025-11-01
Сергиев Посад,1,,,1,2025-11-01
Серпухов,5,4,2,11,2025-11-01
Симферополь,37,9,74,120,2025-11-01
Смоленск,16,4,55,75,2025-11-01
Сосногорск,1,,2,3,2025-11-01
Сочи,25,8,18,51,2025-11-01
Ставрополь,7,2,22,31,2025-11-01
Старый Оскол,5,2,6,13,2025-11-01
Стерлитамак,21,8,73,102,2025-11-01
Стрежевой,3,,,3,2025-11-01
Строитель,2,2,2,6,2025-11-01
Судак,5,2,2,9,2025-11-01
Сургут,57,18,147,222,2025-11-01
Сыктывкар,10,1,29,40,2025-11-01
Таганрог,2,1,6,9,2025-11-01
Талица,,2,5,7,2025-11-01
Тамбов,15,8,42,65,2025-11-01
Тарко-Сале,,,3,3,2025-11-01
Ташкент,,,1,1,2025-11-01
Тверь,38,7,51,96,2025-11-01
Темрюк,14,17,4,35,2025-11-01
Тихорецк,2,,1,3,2025-11-01
Тобольск,8,5,35,48,2025-11-01
Тольятти,5,3,6,14,2025-11-01
Томск,35,10,75,120,2025-11-01
Троицк,3,1,4,8,2025-11-01
Туапсе,,2,5,7,2025-11-01
Туймазы,1,,14,15,2025-11-01
Тула,21,6,91,118,2025-11-01
Туринск,1,1,2,4,2025-11-01
Тюмень,275,99,862,1236,2025-11-01
Уйское с.,1,,,1,2025-11-01
Улан-Удэ,56,11,100,167,2025-11-01
Ульяновск,26,5,42,73,2025-11-01
Урай,,3,1,4,2025-11-01
Уральск,11,,,11,2025-11-01
Усинск,2,,4,6,2025-11-01
Уссурийск,8,,4,12,2025-11-01
Усть-Каменогорск,12,5,13,30,2025-11-01
Усть-Катав,3,1,2,6,2025-11-01
Уфа,48,15,95,158,2025-11-01
Ухта,6,2,32,40,2025-11-01
Феодосия,10,3,20,33,2025-11-01
Хабаровск,49,8,77,134,2025-11-01
Ханты-Мансийск,5,1,40,46,2025-11-01
Холмск,1,1,2,4,2025-11-01
Чебаркуль,3,1,9,13,2025-11-01
Чебоксары,9,1,,10,2025-11-01
Челябинск,25,10,41,76,2025-11-01
Череповец,5,4,28,37,2025-11-01
Черкесск,3,3,9,15,2025-11-01
Черногорск,2,1,9,12,2025-11-01
Черноморское пгт.,2,2,,4,2025-11-01
Чернушка,7,,2,9,2025-11-01
Чернышевск пгт.,2,,2,4,2025-11-01
Черняховск,2,1,,3,2025-11-01
Чехов,,,1,1,2025-11-01
Чита,13,3,25,41,2025-11-01
Чолпон-Ата,,1,,1,2025-11-01
Шадринск,2,1,14,17,2025-11-01
Шексна,,,4,4,2025-11-01
Шымкент,18,1,25,44,2025-11-01
Щёлкино,5,,,5,2025-11-01
Экибастуз,11,1,13,25,2025-11-01
Электросталь,5,,4,9,2025-11-01
Элиста,6,2,7,15,2025-11-01
Южно-Сахалинск,6,2,46,54,2025-11-01
Южноуральск,1,,7,8,2025-11-01
Юрга,5,1,14,20,2025-11-01
Якутск,14,5,21,40,2025-11-01
Ялта,8,,,8,2025-11-01
Ялта 2,4,4,16,24,2025-11-01
Ялуторовск,5,3,32,40,2025-11-01
Ярославль,44,7,65,116,2025-11-01
Ярцево,1,1,6,8,2025-11-01
