city_name,experience_0_3,experience_3_6,experience_6_plus,sum,date_deposit
Пенза,1,,,1,2025-11-01
Первоуральск,1,1,5,7,2025-11-01
Пермь,8,5,47,60,2025-11-01
Пермь 2,4,1,9,14,2025-11-01
Петрозаводск,2,2,20,24,2025-11-01
Петропавловск,15,7,50,72,2025-11-01
Петропавловск-Камчатский,1,3,23,27,2025-11-01
Петушки,,,6,6,2025-11-01
Печоры,,,2,2,2025-11-01
Пласт,,1,,1,2025-11-01
Подольск,2,5,11,18,2025-11-01
Пойковский пгт.,,,3,3,2025-11-01
Покров,,,6,6,2025-11-01
Порхов,,,2,2,2025-11-01
Прокопьевск,1,1,10,12,2025-11-01
Прохладный,2,,5,7,2025-11-01
Псков,1,2,11,14,2025-11-01
Пыть-Ях,,,4,4,2025-11-01
Пятигорск,2,,3,5,2025-11-01
"Раменское, Московская обл.",1,2,10,13,2025-11-01
Ростов-на-Дону,16,21,50,87,2025-11-01
Рудный,,,3,3,2025-11-01
Рыбинск,1,,1,2,2025-11-01
Саки,,1,9,10,2025-11-01
Салават,1,1,6,8,2025-11-01
Салехард,3,,2,5,2025-11-01
Самара,7,3,19,29,2025-11-01
Санкт-Петербург,23,18,164,205,2025-11-01
Саранск,8,4,38,50,2025-11-01
Сарапул,2,,3,5,2025-11-01
Саратов,5,8,67,80,2025-11-01
Сатка,,1,6,7,2025-11-01
Свободный,,2,5,7,2025-11-01
Севастополь,6,2,35,43,2025-11-01
Северодвинск,2,,18,20,2025-11-01
Семей,6,4,24,34,2025-11-01
Серпухов,1,2,2,5,2025-11-01
Симферополь,8,2,44,54,2025-11-01
Смоленск,4,2,38,44,2025-11-01
Сосногорск,,,1,1,2025-11-01
Сочи,1,,7,8,2025-11-01
Ставрополь,1,,13,14,2025-11-01
Старый Оскол,2,2,4,8,2025-11-01
Стерлитамак,8,2,57,67,2025-11-01
Стрежевой,1,,,1,2025-11-01
Строитель,,1,,1,2025-11-01
Судак,,1,,1,2025-11-01
Сургут,13,9,114,136,2025-11-01
Сыктывкар,1,1,13,15,2025-11-01
Таганрог,,,1,1,2025-11-01
Талица,,1,5,6,2025-11-01
Тамбов,5,4,33,42,2025-11-01
Тарко-Сале,,,2,2,2025-11-01
Тверь,13,6,41,60,2025-11-01
Темрюк,,12,1,13,2025-11-01
Тобольск,4,4,33,41,2025-11-01
Тольятти,,2,4,6,2025-11-01
Томск,10,7,59,76,2025-11-01
Троицк,2,1,3,6,2025-11-01
Туапсе,,,3,3,2025-11-01
Туймазы,1,,9,10,2025-11-01
Тула,2,6,76,84,2025-11-01
Туринск,,1,2,3,2025-11-01
Тюмень,98,56,701,855,2025-11-01
Уйское с.,1,,,1,2025-11-01
Улан-Удэ,13,9,84,106,2025-11-01
Ульяновск,7,3,36,46,2025-11-01
Урай,,2,,2,2025-11-01
Уральск,3,,,3,2025-11-01
Усинск,,,4,4,2025-11-01
Уссурийск,2,,1,3,2025-11-01
Усть-Каменогорск,1,1,8,10,2025-11-01
Усть-Катав,1,1,2,4,2025-11-01
Уфа,6,10,60,76,2025-11-01
Ухта,1,,22,23,2025-11-01
Феодосия,,2,9,11,2025-11-01
Хабаровск,16,6,58,80,2025-11-01
Ханты-Мансийск,1,,20,21,2025-11-01
Холмск,,1,2,3,2025-11-01
Чебаркуль,1,,8,9,2025-11-01
Челябинск,10,7,35,52,2025-11-01
Череповец,1,3,21,25,2025-11-01
Черкесск,1,3,8,12,2025-11-01
Черногорск,1,1,7,9,2025-11-01
Черноморское пгт.,,1,,1,2025-11-01
Чернушка,1,,,1,2025-11-01
Чернышевск пгт.,,,1,1,2025-11-01
Черняховск,2,1,,3,2025-11-01
Чита,6,3,22,31,2025-11-01
Шадринск,1,,11,12,2025-11-01
Шексна,,,4,4,2025-11-01
Шымкент,1,1,16,18,2025-11-01
Экибастуз,8,,12,20,2025-11-01
Электросталь,,,1,1,2025-11-01
Элиста,,1,4,5,2025-11-01
Южно-Сахалинск,1,1,29,31,2025-11-01
Южноуральск,1,,7,8,2025-11-01
Юрга,,1,10,11,2025-11-01
Якутск,4,4,15,23,2025-11-01
Ялуторовск,1,,28,29,2025-11-01
Ярославль,12,4,53,69,2025-11-01
Ярцево,,1,5,6,2025-11-01
