city_name,experience_0_3,experience_3_6,experience_6_plus,sum,date_deal
Екатеринбург,10,10,140,160,2025-10-01
Елизово,,,5,5,2025-10-01
Ереван,1,1,,2,2025-10-01
Златоуст,3,1,21,25,2025-10-01
Ижевск,4,8,40,52,2025-10-01
Ирбит,1,,11,12,2025-10-01
Иркутск,5,1,17,23,2025-10-01
Ишим,2,5,42,49,2025-10-01
Йошкар-Ола,1,1,28,30,2025-10-01
Казань,11,11,96,118,2025-10-01
Калининград,7,9,89,105,2025-10-01
Калуга,2,,43,45,2025-10-01
Каменск-Уральский,,,2,2,2025-10-01
Камышлов,2,,11,13,2025-10-01
Кемерово,2,5,76,83,2025-10-01
Кириши,1,2,13,16,2025-10-01
Киров,1,,5,6,2025-10-01
Кисловодск,2,,1,3,2025-10-01
Клин,1,1,4,6,2025-10-01
Ковров,2,1,27,30,2025-10-01
Кокшетау,10,4,25,39,2025-10-01
Коломна,,2,20,22,2025-10-01
Комсомольск-на-Амуре,4,3,43,50,2025-10-01
Короча,,,2,2,2025-10-01
Корсаков,,,3,3,2025-10-01
Коряжма,,1,1,2,2025-10-01
Костанай,11,11,51,73,2025-10-01
Кострома,1,1,42,44,2025-10-01
Котлас,,,9,9,2025-10-01
Краснодар,3,4,64,71,2025-10-01
Красноярск,11,10,156,177,2025-10-01
Курган,10,5,35,50,2025-10-01
Курск,4,3,7,14,2025-10-01
Куса,,,4,4,2025-10-01
Кызыл,4,,7,11,2025-10-01
Кыштым,1,,3,4,2025-10-01
Лангепас,,,6,6,2025-10-01
Ленинск-Кузнецкий,,,4,4,2025-10-01
Липецк,4,2,27,33,2025-10-01
Луховицы,,,1,1,2025-10-01
Лянтор,,,3,3,2025-10-01
Майкоп,1,,7,8,2025-10-01
Махачкала,1,3,15,19,2025-10-01
Мегион,,,4,4,2025-10-01
Междуреченск,1,,5,6,2025-10-01
Мелеуз,,,12,12,2025-10-01
Миасс,5,1,34,40,2025-10-01
Минск,,1,40,41,2025-10-01
Михайловск,1,,1,2,2025-10-01
Мичуринск,,,4,4,2025-10-01
Можга,2,,6,8,2025-10-01
Москва,21,44,338,403,2025-10-01
Муравленко,,1,3,4,2025-10-01
Муром,1,,24,25,2025-10-01
Набережные Челны,4,3,22,29,2025-10-01
Надым,1,,11,12,2025-10-01
Назрань,1,2,3,6,2025-10-01
Нальчик,3,5,10,18,2025-10-01
Невинномысск,,,4,4,2025-10-01
Нерчинск,,,2,2,2025-10-01
Нефтекамск,,1,9,10,2025-10-01
Нефтеюганск,,1,15,16,2025-10-01
Нижневартовск,1,,21,22,2025-10-01
Нижний Новгород (филиал),5,8,5,18,2025-10-01
Нижний Тагил,5,3,43,51,2025-10-01
Нижняя Тура,2,2,2,6,2025-10-01
Новодвинск,,1,7,8,2025-10-01
Новокузнецк,1,,3,4,2025-10-01
Новокузнецк (главный),3,2,16,21,2025-10-01
Новороссийск,2,2,19,23,2025-10-01
Новосибирск,3,1,10,14,2025-10-01
Новосибирск (главный),22,20,128,170,2025-10-01
Новочеркасск,2,1,2,5,2025-10-01
Новый Оскол,,,3,3,2025-10-01
Новый Уренгой,,,27,27,2025-10-01
Норильск,,1,9,10,2025-10-01
Ноябрьск,1,,3,4,2025-10-01
Нягань,1,,1,2,2025-10-01
Обнинск,1,,11,12,2025-10-01
Одинцово,,,1,1,2025-10-01
Озерск,1,,11,12,2025-10-01
Октябрьский (Башкортостан),,,2,2,2025-10-01
Октябрьский (Пермский край),1,,3,4,2025-10-01
Омск,12,8,74,94,2025-10-01
Оренбург,4,4,17,25,2025-10-01
Орехово-Зуево,,,1,1,2025-10-01
Орёл,2,,6,8,2025-10-01
Остров,,,3,3,2025-10-01
Павлодар,6,3,15,24,2025-10-01
Первоуральск,1,1,4,6,2025-10-01
Пермь,5,3,47,55,2025-10-01
Пермь 2,,1,8,9,2025-10-01
Петрозаводск,,2,20,22,2025-10-01
Петропавловск,11,7,53,71,2025-10-01
Петропавловск-Камчатский,2,1,24,27,2025-10-01
Петушки,,,8,8,2025-10-01
Печоры,,,1,1,2025-10-01
Пласт,,2,1,3,2025-10-01
Подольск,2,3,13,18,2025-10-01
Пойковский пгт.,,,3,3,2025-10-01
Покров,1,,6,7,2025-10-01
Порхов,,,1,1,2025-10-01
Прокопьевск,1,2,12,15,2025-10-01
Прохладный,2,,6,8,2025-10-01
Псков,2,2,15,19,2025-10-01
Пыть-Ях,,,4,4,2025-10-01
Пятигорск,,1,1,2,2025-10-01
"Раменское, Московская обл.",,3,9,12,2025-10-01
Ростов-на-Дону,18,16,64,98,2025-10-01
Рудный,,,4,4,2025-10-01
Рыбинск,,,2,2,2025-10-01
Саки,,,7,7,2025-10-01
Салават,,1,8,9,2025-10-01
Самара,2,6,21,29,2025-10-01
Санкт-Петербург,24,15,166,205,2025-10-01
Саранск,5,5,34,44,2025-10-01
Сарапул,,,2,2,2025-10-01
Саратов,8,6,55,69,2025-10-01
Сатка,,2,7,9,2025-10-01
Свободный,1,3,4,8,2025-10-01
Севастополь,1,6,38,45,2025-10-01
Северодвинск,,1,17,18,2025-10-01
Семей,5,4,22,31,2025-10-01
Серпухов,,1,2,3,2025-10-01
Симферополь,1,4,54,59,2025-10-01
Смоленск,,7,45,52,2025-10-01
Сосногорск,,,2,2,2025-10-01
Сочи,4,2,7,13,2025-10-01
Ставрополь,2,,10,12,2025-10-01
Старый Оскол,1,,7,8,2025-10-01
Стерлитамак,1,4,59,64,2025-10-01
Стрежевой,1,1,,2,2025-10-01
Строитель,1,,2,3,2025-10-01
Судак,1,,3,4,2025-10-01
Сургут,9,12,115,136,2025-10-01
Сыктывкар,3,,21,24,2025-10-01
Таганрог,,1,4,5,2025-10-01
Талица,,2,5,7,2025-10-01
Тамбов,3,3,31,37,2025-10-01
Тарко-Сале,,,2,2,2025-10-01
Тверь,8,4,45,57,2025-10-01
Темрюк,11,1,3,15,2025-10-01
Тихорецк,1,,1,2,2025-10-01
Тобольск,2,4,33,39,2025-10-01
Тольятти,1,,4,5,2025-10-01
Томск,11,7,53,71,2025-10-01
Троицк,1,1,4,6,2025-10-01
Туапсе,,1,4,5,2025-10-01
Туймазы,,,14,14,2025-10-01
Тула,3,4,78,85,2025-10-01
Туринск,2,,2,4,2025-10-01
Тюмень,88,53,714,855,2025-10-01
Улан-Удэ,11,11,79,101,2025-10-01
Ульяновск,5,4,33,42,2025-10-01
Урай,,2,1,3,2025-10-01
Уральск,5,,,5,2025-10-01
Усинск,1,,4,5,2025-10-01
Уссурийск,1,2,1,4,2025-10-01
Усть-Каменогорск,1,2,5,8,2025-10-01
Усть-Катав,2,,1,3,2025-10-01
Уфа,3,5,67,75,2025-10-01
Ухта,1,1,24,26,2025-10-01
Феодосия,1,2,10,13,2025-10-01
Хабаровск,7,9,61,77,2025-10-01
Ханты-Мансийск,,,27,27,2025-10-01
Холмск,,,1,1,2025-10-01
Чебаркуль,1,1,5,7,2025-10-01
Челябинск,2,4,34,40,2025-10-01
Череповец,,3,23,26,2025-10-01
Черкесск,,2,8,10,2025-10-01
Черногорск,,1,3,4,2025-10-01
Черноморское пгт.,,2,,2,2025-10-01
Чернышевск пгт.,,,1,1,2025-10-01
Чита,4,6,19,29,2025-10-01
Чолпон-Ата,,2,,2,2025-10-01
Шадринск,2,,13,15,2025-10-01
Шексна,,,4,4,2025-10-01
Шымкент,1,,21,22,2025-10-01
Экибастуз,5,3,10,18,2025-10-01
Электросталь,,,2,2,2025-10-01
Элиста,2,3,4,9,2025-10-01
Южно-Сахалинск,,1,36,37,2025-10-01
Южноуральск,1,,7,8,2025-10-01
Юрга,,,10,10,2025-10-01
Якутск,4,2,9,15,2025-10-01
Ялта,,,4,4,2025-10-01
Ялуторовск,1,,24,25,2025-10-01
Ярославль,4,10,60,74,2025-10-01
Ярцево,,2,4,6,2025-10-01
